Message_0_Page_0 你是谁？我是<name_npc>，这个要塞以及剩下的手下的领导者。
Message_1_Page_0 你有空吗？
Message_2_Page_0 有要报告的事情吗？

Response_0 我的名字是<name_char>
Response_1 我准备好执行你的计划了。
Response_2 我肃清了Orly International。
Response_3 我准备好执行你的下一项任务了。
Response_4 我杀死了雷电突变体。
Response_5 我准备好执行你的下一项任务了。
Response_6 我肃清了Le Mans Hospital。
Response_7 我准备好执行你的下一项任务了。
Response_8 我杀死了火焰突变体。
Response_9 我准备好执行你的下一项任务了。
Response_10 我杀死了地震突变体。
Response_11 我准备好执行你的下一项任务了。
Response_12 我找回了你的文档。
Response_13 我准备好执行你的下一项任务了。
Response_14 我肃清了Paris。
Response_15 我准备好执行你的下一项任务了。
Response_16 我肃清了Verdun Airbase。
Response_17 我准备好执行你的下一项任务了。
Response_18 我杀死了辐射突变体。
Response_19 我准备好执行你的下一项任务了。
Response_20 这是什么？
Response_21 以后吧，我现在很忙。
Response_22 我有问题要问。
Response_23 没有。
